old_url,locale,content_type,observed_status,decision,new_url,reason,approval,test_status
https://www.o-some.de/,de,home,sitemap_listed,preserve,/,bestehender relevanter Informationspfad,pending,NOT_RUN
https://www.o-some.de/blogs/news,de,blogs,sitemap_listed,retire_review_required,,Altbestand/Shopbezug: sachliche Zuordnung und Betreiberentscheidung offen,pending,NOT_RUN
https://www.o-some.de/blogs/rezepte,de,blogs,sitemap_listed,preserve,/blogs/rezepte,bestehender relevanter Informationspfad,pending,NOT_RUN
https://www.o-some.de/blogs/rezepte/heute-entfuhren-wir-dich-kulinarisch-nach-griechenland-mit-einem-echten-klassiker-moussaka-herzhaft-aromatisch-und-perfekt-geschichtet-ein-wohlfuhlgericht-das-nicht-nur-nach-sommer-sondern-auch-nach-liebe-schmeckt-%F0%9F%92%9B,de,blogs,sitemap_listed,preserve_review,/blogs/rezepte/heute-entfuhren-wir-dich-kulinarisch-nach-griechenland-mit-einem-echten-klassiker-moussaka-herzhaft-aromatisch-und-perfekt-geschichtet-ein-wohlfuhlgericht-das-nicht-nur-nach-sommer-sondern-auch-nach-liebe-schmeckt-%F0%9F%92%9B,Altbeitrag als gekennzeichnete Zutatenidee lokal aufgebaut; redaktionelle Freigabe vor Launch offen,pending,NOT_RUN
https://www.o-some.de/collections/aioli,de,collections,sitemap_listed,preserve,/collections/aioli,bestehender relevanter Informationspfad,pending,NOT_RUN
https://www.o-some.de/collections/all,de,collections,HTTP_200_checked,preserve,/collections/all,bestehender relevanter Informationspfad,pending,NOT_RUN
https://www.o-some.de/collections/bucher,de,collections,sitemap_listed,retire_review_required,,Altbestand/Shopbezug: sachliche Zuordnung und Betreiberentscheidung offen,pending,NOT_RUN
https://www.o-some.de/collections/bundles,de,collections,sitemap_listed,retire_review_required,,Altbestand/Shopbezug: sachliche Zuordnung und Betreiberentscheidung offen,pending,NOT_RUN
https://www.o-some.de/collections/dressing,de,collections,sitemap_listed,preserve,/collections/dressing,bestehender relevanter Informationspfad,pending,NOT_RUN
https://www.o-some.de/collections/essig,de,collections,sitemap_listed,retire_review_required,,Altbestand/Shopbezug: sachliche Zuordnung und Betreiberentscheidung offen,pending,NOT_RUN
https://www.o-some.de/collections/frontpage,de,collections,sitemap_listed,retire_review_required,,Altbestand/Shopbezug: sachliche Zuordnung und Betreiberentscheidung offen,pending,NOT_RUN
https://www.o-some.de/collections/geschenkgutscheine,de,collections,sitemap_listed,retire_review_required,,Altbestand/Shopbezug: sachliche Zuordnung und Betreiberentscheidung offen,pending,NOT_RUN
